solution_id,shower_code,vel_init_norot,vel_avg_norot,duration,mass,peak_mag_height,begin_height,end_height,peak_abs_mag,beg_abs_mag,end_abs_mag,F,trail_len,acceleration,zenith_angle,kurtosis,skew,kc,rho,sigma,erosion_height_start,erosion_coeff,erosion_mass_index,erosion_mass_min,erosion_mass_max,erosion_range,erosion_energy_per_unit_cross_section,erosion_energy_per_unit_mass
erosion_sim_v60.13_m1.72e-03g_rho0356_z43.5_abl0.042_eh116.5_er0.255_s2.93.json,sim_PER,60.12566258548065,59.80591522936745,0.25,1.7178873658473816e-06,110.60576029584747,115.99684291012656,105.23202721502606,2.2623395948733385,4.149402952725301,8.0,0.5008058444263738,14.951478807341863,1.1190404557085452,43.52667742964994,-1.1583248255847685,-0.008558890050831597,28.858387076860595,356.23313836795967,4.166493658501053e-08,116.53756672138361,2.551246862456212e-07,2.9297809013561595,2.747782855518132e-14,8.292650314563429e-14,0.47971094291528615,711755.4276990823,1430962.9350622233
erosion_sim_v60.15_m1.84e-04g_rho0443_z43.1_abl0.013_eh110.2_er0.367_s1.57.json,sim_PER,60.145928372637606,59.46490958969091,0.125,1.8434039239832017e-07,106.78765947037105,109.49013745467269,104.12156960999617,3.8108712821114796,5.17491199230934,5.109665629407228,0.5033889973061287,7.433113698711364,9.758382883860747,43.134870513406455,-0.6280733593531034,0.3737602990235129,22.34066853632092,443.568116275878,1.3310750968495454e-08,110.15291423713248,3.6714402719385195e-07,1.5743745703417438,1.3786316235305692e-14,1.1113221001697818e-11,2.90639171470729,1499639.9751154007,5481827.040380146
erosion_sim_v60.15_m6.67e-04g_rho0863_z30.7_abl0.012_eh110.6_er0.616_s2.64.json,sim_PER,60.14767381409979,59.37434720367197,0.25,6.668733083286886e-07,105.26563261165268,110.08439969672328,97.38392379859856,2.6284647167206985,5.471724073109557,8.0,0.379416261541988,14.843586800917992,10.098086400110343,30.723927415874048,-1.0221523857278463,0.07240289062122754,22.933982422521723,863.1168475976793,1.2369829034702703e-08,110.6467128030038,6.155049541321374e-07,2.637412435666797,2.611581965554471e-12,4.194555894153082e-10,2.205782325026103,1193867.2401435347,1823954.0701660628
erosion_sim_v60.18_m1.52e-03g_rho0716_z63.7_abl0.026_eh101.6_er0.860_s1.80.json,sim_PER,60.18435756901175,59.783906057740474,0.4375,1.5208727332566675e-06,101.20274286244582,110.6631763373576,99.66781805506507,0.7034610207963318,6.1866758592881315,5.956526733874471,0.8604024745739604,26.155458900261458,2.1674671549340983,63.7451196085631,-0.07465732716628937,-0.9841951988005214,23.492833935268507,716.4224160172632,2.6352933033138245e-08,101.64129113733911,8.597427671051389e-07,1.7968554978327322,1.7169674333858158e-13,5.6653200252689026e-11,2.518462389774067,8780626.743895235,11538972.84159107
erosion_sim_v60.18_m5.77e-03g_rho0280_z43.0_abl0.043_eh105.2_er0.408_s2.19.json,sim_PER,60.18218503211778,60.05739782139033,0.8125,5.772105206560349e-06,103.22433320806293,134.57654085769843,99.19731914479024,-0.02685297393932185,7.127850467594345,5.4309454320925,0.8861757306039487,48.79663572987965,0.6556025745015627,42.987410306784966,-0.01860259369951356,-0.876032506920269,47.4073781511657,280.6553304606445,4.3142526145511306e-08,105.21357833038918,4.084510359746536e-07,2.185588449524267,9.978498106981396e-12,6.681214293813216e-10,1.8257902223039597,3015279.8265782916,4744816.080842097
erosion_sim_v60.20_m5.09e-04g_rho0272_z33.4_abl0.040_eh115.9_er0.654_s1.75.json,sim_PER,60.19768978295858,59.78166807855224,0.34375,5.09461198096903e-07,110.64566498467146,115.32625485727364,98.25763151239197,3.7436966715644995,5.760414812237406,6.620755249349684,0.27422187355289795,20.549948402002332,3.176854929284923,33.39731192981515,-1.0504401434059476,0.1457469638839781,28.148673946160983,272.079878762869,3.977799947195656e-08,115.93309018591053,6.541750341237689e-07,1.7517957795812094,1.0511380145023982e-12,6.193241948236599e-09,3.7702583040317563,660475.3273387977,2383091.1177807013
erosion_sim_v60.27_m2.50e-04g_rho0556_z42.5_abl0.047_eh114.8_er0.987_s2.01.json,sim_PER,60.27147074319047,60.010882831632046,0.1875,2.496611315312448e-07,111.51949993084929,114.26891541967044,106.05980425114906,3.635540582946997,5.086452533624018,7.550944388870877,0.3349224334254408,11.252040530931009,4.398680853806475,42.461071354276065,-0.9329276389149834,0.26619260549759777,27.051305296398027,556.0280141906022,4.723567784510068e-08,114.8443633325131,9.86872008937191e-07,2.0141151990619828,2.732564169031428e-13,9.466443566254547e-11,2.539616480897733,843726.5501500283,2397759.7134420024
erosion_sim_v60.30_m2.59e-04g_rho0604_z71.6_abl0.016_eh116.3_er0.388_s2.12.json,sim_PER,60.29958172919128,59.78982303942578,0.5,2.590135692852123e-07,113.4594244007161,115.60036546364117,107.12761633066074,4.792251035784609,5.88417317563403,8.0,0.25268552500762587,29.89491151971289,1.8731416341801168,71.61118447902555,-1.0872334102566261,0.07095984365558007,28.36751686196058,604.8363554217027,1.553571600353184e-08,116.34735778241155,3.8781498098898115e-07,2.115299178766122,2.5991794722044786e-13,3.4546209480903395e-09,4.123564133783358,1678496.6233194578,4454918.310414944
erosion_sim_v60.34_m3.86e-04g_rho0407_z47.3_abl0.011_eh119.4_er0.651_s1.82.json,sim_PER,60.34334956023489,59.07899578532171,0.5937500000000002,3.861384936809223e-07,99.33522460340386,114.37502354362545,90.94898112368232,4.3416647017442385,6.203907968093723,7.025552225202981,0.6420119399859816,35.07815374753478,7.363753139695675,47.339201970464075,-0.8832170442185578,-0.2652173932433764,27.118463294301733,407.14902674580605,1.0576870410541991e-08,119.41781130971806,6.506307919647372e-07,1.823206851306019,5.657767142871261e-11,3.178336594304955e-08,2.749554819048895,576738.0419569161,1744538.9445851964
erosion_sim_v60.36_m1.35e-04g_rho0660_z29.1_abl0.030_eh118.8_er0.214_s2.63.json,sim_PER,60.359455623764376,60.10522419460728,0.1875,1.353416197735278e-07,107.11179904804473,113.66458037512089,103.85980062343195,4.723844109780252,5.885090457859521,5.7968880168687305,0.6683251937349638,11.269729536488866,3.4324338338062303,29.093030021664475,-0.8147293633870154,-0.1895064980574456,26.399298838040366,660.8037243933628,2.991138769964322e-08,118.82561164230957,2.142712505893026e-07,2.629608901658875,1.5728097504718694e-11,1.9990598892029656e-10,1.104149612343777,473343.858204035,1470403.9883494717
