alt_km,rho_mars_kg_m3,real_rho_mars_kg_m3,multiplier,
130,3.66E-09,3.66E-09,1.00E+00,http://www-mars.lmd.jussieu.fr/mcd_python/cgi-bin/mcdcgi.py?var1=rho&var2=none&var3=none&var4=none&datekeyhtml=1&ls=160.3&localtime=0.&year=2025&month=10&day=24&hours=18&minutes=41&seconds=6&julian=2460973.278541667&martianyear=38&sol=337&latitude=0&longitude=0&altitude=130000&zkey=3&spacecraft=equator&isfixedlt=off&dust=1&hrkey=1&averaging=loct&dpi=80&islog=off&colorm=jet&minval=&maxval=&proj=cyl&palt=&plon=&plat=&trans=&iswind=off&latpoint=&lonpoint=
125,8.07E-09,8.07E-09,1.00E+00,http://www-mars.lmd.jussieu.fr/mcd_python/cgi-bin/mcdcgi.py?var1=rho&var2=none&var3=none&var4=none&datekeyhtml=1&ls=160.3&localtime=0.&year=2025&month=10&day=24&hours=18&minutes=41&seconds=6&julian=2460973.278541667&martianyear=38&sol=337&latitude=0&longitude=0&altitude=125000&zkey=3&spacecraft=equator&isfixedlt=off&dust=1&hrkey=1&averaging=loct&dpi=80&islog=off&colorm=jet&minval=&maxval=&proj=cyl&palt=&plon=&plat=&trans=&iswind=off&latpoint=&lonpoint=
120,1.73E-08,1.73E-08,1.00E+00,http://www-mars.lmd.jussieu.fr/mcd_python/cgi-bin/mcdcgi.py?var1=rho&var2=none&var3=none&var4=none&datekeyhtml=1&ls=160.3&localtime=0.&year=2025&month=10&day=24&hours=18&minutes=41&seconds=6&julian=2460973.278541667&martianyear=38&sol=337&latitude=0&longitude=0&altitude=120000&zkey=3&spacecraft=equator&isfixedlt=off&dust=1&hrkey=1&averaging=loct&dpi=80&islog=off&colorm=jet&minval=&maxval=&proj=cyl&palt=&plon=&plat=&trans=&iswind=off&latpoint=&lonpoint=
115,3.59E-08,3.59E-08,1.00E+00,http://www-mars.lmd.jussieu.fr/mcd_python/cgi-bin/mcdcgi.py?var1=rho&var2=none&var3=none&var4=none&datekeyhtml=1&ls=160.3&localtime=0.&year=2025&month=10&day=24&hours=18&minutes=41&seconds=6&julian=2460973.278541667&martianyear=38&sol=337&latitude=0&longitude=0&altitude=115000&zkey=3&spacecraft=equator&isfixedlt=off&dust=1&hrkey=1&averaging=loct&dpi=80&islog=off&colorm=jet&minval=&maxval=&proj=cyl&palt=&plon=&plat=&trans=&iswind=off&latpoint=&lonpoint=
110,7.22E-08,7.22E-08,1.00E+00,http://www-mars.lmd.jussieu.fr/mcd_python/cgi-bin/mcdcgi.py?var1=rho&var2=none&var3=none&var4=none&datekeyhtml=1&ls=160.3&localtime=0.&year=2025&month=10&day=24&hours=18&minutes=41&seconds=6&julian=2460973.278541667&martianyear=38&sol=337&latitude=0&longitude=0&altitude=110000&zkey=3&spacecraft=equator&isfixedlt=off&dust=1&hrkey=1&averaging=loct&dpi=80&islog=off&colorm=jet&minval=&maxval=&proj=cyl&palt=&plon=&plat=&trans=&iswind=off&latpoint=&lonpoint=
105,1.39E-07,1.39E-07,1.00E+00,http://www-mars.lmd.jussieu.fr/mcd_python/cgi-bin/mcdcgi.py?var1=rho&var2=none&var3=none&var4=none&datekeyhtml=1&ls=160.3&localtime=0.&year=2025&month=10&day=24&hours=18&minutes=41&seconds=6&julian=2460973.278541667&martianyear=38&sol=337&latitude=0&longitude=0&altitude=105000&zkey=3&spacecraft=equator&isfixedlt=off&dust=1&hrkey=1&averaging=loct&dpi=80&islog=off&colorm=jet&minval=&maxval=&proj=cyl&palt=&plon=&plat=&trans=&iswind=off&latpoint=&lonpoint=
100,2.54E-07,2.54E-07,1.00E+00,http://www-mars.lmd.jussieu.fr/mcd_python/cgi-bin/mcdcgi.py?var1=rho&var2=none&var3=none&var4=none&datekeyhtml=1&ls=160.3&localtime=0.&year=2025&month=10&day=24&hours=18&minutes=41&seconds=6&julian=2460973.278541667&martianyear=38&sol=337&latitude=0&longitude=0&altitude=100000&zkey=3&spacecraft=equator&isfixedlt=off&dust=1&hrkey=1&averaging=loct&dpi=80&islog=off&colorm=jet&minval=&maxval=&proj=cyl&palt=&plon=&plat=&trans=&iswind=off&latpoint=&lonpoint=
95,4.44E-07,4.44E-07,1.00E+00,http://www-mars.lmd.jussieu.fr/mcd_python/cgi-bin/mcdcgi.py?var1=rho&var2=none&var3=none&var4=none&datekeyhtml=1&ls=160.3&localtime=0.&year=2025&month=10&day=24&hours=18&minutes=41&seconds=6&julian=2460973.278541667&martianyear=38&sol=337&latitude=0&longitude=0&altitude=95000&zkey=3&spacecraft=equator&isfixedlt=off&dust=1&hrkey=1&averaging=loct&dpi=80&islog=off&colorm=jet&minval=&maxval=&proj=cyl&palt=&plon=&plat=&trans=&iswind=off&latpoint=&lonpoint=
90,7.42E-07,7.42E-07,1.00E+00,http://www-mars.lmd.jussieu.fr/mcd_python/cgi-bin/mcdcgi.py?var1=rho&var2=none&var3=none&var4=none&datekeyhtml=1&ls=160.3&localtime=0.&year=2025&month=10&day=24&hours=18&minutes=41&seconds=6&julian=2460973.278541667&martianyear=38&sol=337&latitude=0&longitude=0&altitude=90000&zkey=3&spacecraft=equator&isfixedlt=off&dust=1&hrkey=1&averaging=loct&dpi=80&islog=off&colorm=jet&minval=&maxval=&proj=cyl&palt=&plon=&plat=&trans=&iswind=off&latpoint=&lonpoint=
85,1.33E-06,1.33E-06,1.00E+00,http://www-mars.lmd.jussieu.fr/mcd_python/cgi-bin/mcdcgi.py?var1=rho&var2=none&var3=none&var4=none&datekeyhtml=1&ls=160.3&localtime=0.&year=2025&month=10&day=24&hours=18&minutes=41&seconds=6&julian=2460973.278541667&martianyear=38&sol=337&latitude=0&longitude=0&altitude=85000&zkey=3&spacecraft=equator&isfixedlt=off&dust=1&hrkey=1&averaging=loct&dpi=80&islog=off&colorm=jet&minval=&maxval=&proj=cyl&palt=&plon=&plat=&trans=&iswind=off&latpoint=&lonpoint=
