solution_id,shower_code,vel_init_norot,vel_avg_norot,duration,mass,peak_mag_height,begin_height,end_height,t0,peak_abs_mag,beg_abs_mag,end_abs_mag,F,trail_len,deceleration_lin,deceleration_parab,decel_parab_t0,decel_t0,decel_jacchia,zenith_angle,kurtosis,skew,kc,Dynamic_pressure_peak_abs_mag,a_acc,b_acc,c_acc,a_t0,b_t0,c_t0,a1_acc_jac,a2_acc_jac,a_mag_init,b_mag_init,c_mag_init,a_mag_end,b_mag_end,c_mag_end
20180809_020120,PER,59.08966220477615,58.95837043472753,0.7157072424888611,1.25e-06,107.5662997260964,114.28017578222921,101.51363326510607,0.4259034385535927,3.415766406627699,6.082138993756204,5.5617612620681625,0.5258961889742512,17.05608800751172,-1.0746378764319993,-8.556793615152417,-32.40280072004484,-4.750905616994923,0.0009305796714260669,41.539083000000005,-0.8888174980484447,-0.06741390709190599,27.58856420038643,366.05273640858996,-5.866536028619801,3.1762784420871846,58.78841426229156,-5.38961458860269,-0.03255659421434723,-0.0005143479298789964,4.647571590837169e-06,14.15023773437482,0.043995979034102406,-9.405827623349571,506.0880335347145,0.041692844347387334,-9.108163663769268,500.7192355849006
20180813_071944,PER,59.90156655719304,59.23253078463108,0.4045441746711731,6.5e-07,107.63992661993545,115.01513305058931,96.1882131863105,0.16591574572876683,3.618575152160111,6.264430392976921,6.679999979297384,0.39173728277492614,23.24718312955209,-10.596976036357987,-131.03172283676557,-207.88295276117847,-24.810632996718596,0.11975818986666077,35.91792900000002,-0.7784712456946483,0.013331656013136831,27.309407860848154,480.62400181670375,-76.7645671717375,22.497411506709422,58.846604686845275,-34.645788311158064,-0.004111447115054129,-0.0009957014429594515,0.00045374224508276873,16.24605816355881,-0.006785995776039486,1.852002214535833,-117.13712108523545,0.029045405908853517,-6.170801520611581,331.43425130752274
20190727_023444,PER,58.291388843798266,57.07541340556118,0.6535068154335022,3.9e-06,106.93323037523753,114.19518511867865,99.33746635105557,0.12235067486346876,1.8704381908422059,5.227128320696659,4.9712863761804105,0.4887664692688809,20.58583102766343,-5.357720314256039,-18.326778433900504,-25.02765173794842,-6.670649792816541,0.8615454113288992,43.801268000000064,-0.6218437007233595,0.16198103337149164,27.813180206482798,354.27899445334043,-9.87692688614094,1.427075338381376,58.07199276133309,-4.165861884565438,-0.016240215277894276,-0.003544630592214406,0.041413961205988746,4.561059110647201,0.01005115979206244,-1.704224472557483,69.05301503986834,-0.006830942917084913,0.9601481205805833,-22.828261579370473
20190811_060903,PER,58.763821203012654,57.41740807040619,0.3423035144805908,4.6e-07,103.6985684309334,112.43542557290317,98.95055726518582,0.16040891003213967,4.337534505271647,5.519593167537926,5.766516774845831,0.6479008131632763,19.05439810303597,-19.856516276464014,-284.3540423433753,-547.2131400719948,-49.814273868669225,0.25883555938313146,44.95161100000005,-1.027606800372484,-0.14472869175711137,24.88692509605977,805.946549586091,-162.8666220307148,41.379201718054325,57.11008974777988,-91.19362522846342,-0.025694350607141314,0.00014589390139781253,0.0007785130005587876,18.233877615894563,0.02109386355826749,-4.452681175082131,239.40956858978004,0.07863776276036219,-16.267360005581136,845.6151347168634
20200813_055238,PER,58.63480233494941,57.72287632661327,0.46678483486175537,8.9e-06,102.34364646840238,113.49621050456823,95.78518865504174,0.23595770507396513,0.20442568557323515,4.858614649560893,4.509558226757368,0.6296962496528121,25.273245149580855,-6.0660745292554346,-45.02604937641734,-127.47418694395063,-14.728254687991782,0.5413137152679388,45.51026499999993,-0.6323514817321674,-0.07588021346128138,26.933750797433916,993.2128757484763,-26.074729084669826,7.123408792922313,58.013624861690886,-21.242682414717926,-0.009046227821533158,-0.0018544068160189278,0.007698088891634928,8.385578997596484,0.006750106761963958,-0.9610995500139284,27.60499673139358,-0.005723396943271452,0.49370920007762165,9.551433964907092
20200815_065126,PER,60.725348375090675,59.50521923727347,0.311163067817688,1.3e-06,103.47186263891946,111.83644230916339,98.08660295252055,0.09543661421578521,2.5699749303570822,5.423378932356226,5.597348916080314,0.6083401742583139,18.682209399819367,-17.050142182879423,-172.33610411080437,-245.79322399254582,-26.523789425293568,0.8986517943101782,42.60942600000004,-0.6293804310170898,-0.17767967308004592,23.690998117094736,939.7302987708682,-94.31094765233055,16.285791193856742,60.28147556985582,-40.96334425288286,-0.006579237624325316,0.005157063669640309,0.004825132468225553,13.647122894439159,-0.007275258573209268,1.948074877768176,-121.50054348184719,0.024611034512361463,-5.50885120857893,309.1004298462497
20210805_083806,PER,60.417713047943806,58.71870339230267,0.3112033009529114,6.8e-07,106.33598160213779,114.12744871816238,97.76973567605488,0.07608957680831238,3.3428713278538136,5.534771290998577,5.65847053581083,0.4763176304638701,21.753136718163812,-20.91892640619144,-200.95306510251893,-241.23976933980845,-28.382423352753843,1.2323359828706801,41.23865799999995,-0.7190836248884231,-0.17503904674905427,26.07543518213349,569.3229619153414,-109.34450275088815,17.73594039925737,59.808279944384196,-40.202277978484744,-0.013050734449996462,0.007105949838096269,0.006769345569646715,13.492462580198291,-0.0024780784478105108,0.7765870062481199,-50.795040485576195,0.028846226651986617,-6.094846075388096,325.3565406395488
20210813_061452,PER,61.17359116832122,60.7403455181686,0.4978850483894348,5.8e-06,100.719998592788,115.08026363224202,94.10892826321297,0.24972761469010785,1.4882402539063353,4.958417761736438,4.632832361902649,0.6847568257699789,30.506924531623547,-4.399474013773226,-42.897370373577914,-98.84036968046964,-12.279534222480319,0.06513507562775188,46.57308900000142,-0.7172324356157698,-0.26705880062068477,27.06593753341194,1434.2477755993084,-26.11852930462655,9.339688235675187,60.56748640430528,-16.470436541714648,-0.00887521509087175,-0.0014968524817014091,0.00040053182430100455,12.752312493822968,0.006699574510731482,-1.1730654568256922,51.450111757434925,0.08742821212027727,-17.46234348696122,873.6465724751151
20210816_061910,PER,60.832348614775235,60.26766436961742,0.5022539568492265,1.3e-06,101.4870099518615,114.49310114698287,93.72756032434303,0.2528675357439954,2.6080572609811496,4.465433849732354,5.1895852263513955,0.626330482129382,29.23457609395,-5.571990995882621,-49.02864165275447,-122.89855316336087,-15.3308096218228,0.08351572173115643,44.74005409269658,-1.024549918869856,-0.009951116449342372,26.65641545316592,1273.1393477059523,-29.89588294765461,10.763124242554742,60.14586813842893,-20.48191271113256,-0.003538448282764476,-0.001319749357330092,0.0005552913356255866,12.263760787541125,0.025909523984936126,-5.4721279294401715,291.9493238575005,0.017128808963825192,-3.618825954185218,193.6214886059102
20220807_073827,PER,59.90844727449243,59.238400867436724,0.28006285429000854,1.3e-06,103.29992021298203,110.9735754817321,97.28388056082085,-0.02273644932438745,2.4850099498878437,5.097404137972564,5.510070306352692,0.5605424600827608,19.010018856929705,-7.613849642195557,-25.320963431324174,-44.51557501363335,-6.754529369048625,1.077139458458822,43.934741859798415,-0.5783287301354747,-0.09979770177550706,23.87668461794992,884.3807107650896,-10.5064265703595,-4.308110290605176,60.2403354292166,-7.416338705061316,-0.008771391632725778,0.00871605802198013,0.010283238192775806,10.234603446035706,-0.005939551510073296,1.6393600460206585,-103.62983406278941,0.0008761093243043036,-0.6617848087938066,61.41424708530878
