solution_id,shower_code,vel_init_norot,vel_avg_norot,duration,mass,peak_mag_height,begin_height,end_height,peak_abs_mag,beg_abs_mag,end_abs_mag,F,trail_len,acceleration,zenith_angle,kurtosis,skew,kc,distance
20180813_071944A,PER,63.27270926,59.2543558,0.373443961,3.85e-07,106.2254123,113.5254796,96.39800538,3.845090841,6.100962289,6.725996396,0.426219724,21.14827194,21.87497832,35.916199,-0.715038501,0.00925174,24.71978994,2.7683236523989354
20210816_061910A,PER,61.66191733,60.62577858,0.470682333,9.52e-07,100.2209325,113.2902786,93.68909764,3.094226095,5.641339612,6.230179622,0.666763201,27.55694924,4.476826415,44.6594422,-1.003266323,0.080980112,25.32732055,1.3662416851142292
20220729_064854A,PER,60.98606208,60.20287976,0.248962641,1.2e-06,105.661296,111.5000116,99.90297207,2.283464006,4.896000211,4.511450588,0.503466048,14.94979272,7.459430396,39.12851227,-0.672359001,-0.067091131,23.8972225,1.5124372102324182
20220807_073827A,PER,60.23515636,59.49833388,0.248962641,9e-07,103.2029224,109.428595,97.24251616,2.486554356,4.620816076,5.510727415,0.51088399,16.92081769,6.893440097,43.93043987,-0.726471301,-0.060442503,22.23068082,1.3769154076257273
20220820_055202A,PER,62.05358563,61.06801356,0.529025495,1.9e-06,103.585928,114.3341475,94.31536019,1.807911124,5.456283272,5.888999148,0.536906624,21.62256685,4.542176684,22.20639,-0.669166402,-0.055717282,26.16426857,1.4816592289048351
